date,headline_text,primary_category,categories,is_market_prices,is_supply_geopolitics,is_consumer_fuel,market_match_rule,supply_match_rule,consumer_match_rule,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
2003-10-05,us snipers to defend iraq oil pipeline,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2003-10-06,tasmania warns over high petrol prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.1027,0.0,0.219,0.781,negative
2003-10-10,oil company receives environmental award,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.5423,0.467,0.0,0.533,positive
2003-10-17,green light for carnarvon basin oil fields work,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-10-17,oil company to begin seismic survey,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-10-29,fines over shale oil plant dust,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2003-11-01,russian pm criticises freezing of oil shares,market_prices,market_prices,True,False,False,oil_and_financial_market,,,-0.128,0.222,0.374,0.404,negative
2003-11-03,blast rips through oil pipeline in northern iraq,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2003-11-04,russian billionaire resigns from oil company,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,-0.3182,0.0,0.315,0.685,negative
2003-11-17,dollar should be reducing diesel prices seafood,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-11-18,pipeline explosion closes iraqi oil refinery,supply_geopolitics,supply_geopolitics,False,True,False,,oil_refinery_operations,,0.0,0.0,0.0,1.0,neutral
2003-11-19,dollar offsets soaring oil prices,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-11-21,petrol price fixing charges against leahy dropped,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.2732,0.0,0.259,0.741,negative
2003-11-23,rockets fired at iraq oil company three iraqis,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,-0.5574,0.0,0.34,0.66,negative
2003-12-02,shale oil firm falls into receivership,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2003-12-05,opec to maintain production ceiling,supply_geopolitics,supply_geopolitics,False,True,False,,opec,,0.0,0.0,0.0,1.0,neutral
2003-12-06,airline warns of more jet fuel shortages,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.3102,0.0,0.395,0.605,negative
2003-12-08,iraqi oil ministry talks down fuel shortage,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.25,0.0,0.25,0.75,negative
2003-12-09,new outlet may fuel lower prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_cost_proximity,-0.296,0.0,0.306,0.694,negative
2003-12-12,oil firm may have overcharged in iraq,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-12-13,fuel companies easing prices up wa watchdog,consumer_fuel,consumer_fuel,False,False,True,,,fuel_cost_proximity,0.25,0.25,0.0,0.75,positive
