date,headline_text,match_reason
2005-01-13,oil prices on the rise,oil_market_phrase
2005-01-13,racq angered by toowoombas high fuel prices,fuel_prices
2005-01-14,stocks lose ground as oil price jumps,oil_market_phrase
2005-01-15,oil prices rise on supply worries,oil_market_phrase
2005-01-18,china asia predicted to increase oil demand,oil_market_phrase
2005-01-19,islanders look to coconuts as oil prices rise,oil_market_phrase
2005-01-19,woodside benefits from oil price hikes,oil_market_phrase
2005-01-20,accc keeps close eye on wagga fuel prices,fuel_prices
2005-01-29,opec expected to maintain production levels,opec
2005-01-30,inquiry to probe high nt petrol prices,fuel_prices
2005-01-30,opec charts no change in oil output limits,opec
2005-01-30,opec keeps output steady,opec
2005-01-31,petrol price inquiry a stunt opposition says,fuel_prices
2005-02-02,cheaper fuel prices predicted to dry up,fuel_prices
2005-02-03,conflicting reasons given for high fuel prices,fuel_prices
2005-02-08,egypt cleans up tanker crash oil slick,oil_with_market_context
2005-02-14,us soldier killed in iraq oil pipeline ablaze,oil_market_phrase
2005-02-16,woodside petroleum doubles net profit,petroleum
2005-02-17,east timor moves toward independent oil industry,oil_market_phrase
2005-02-21,us oil exports will stop if bush kills me chavez,oil_market_phrase
2005-02-23,high oil price fuels santos profit jump,oil_market_phrase
2005-02-23,oil surge pushes dollar to 12 month high,oil_price_movement
2005-02-23,us markets knocked down by oil price,oil_market_phrase
2005-03-01,fuel price hikes spark indonesian protests,fuel_prices
2005-03-02,indonesian students protest fuel price rise,fuel_prices
2005-03-04,wall st rallies despite oil price hit,oil_market_phrase
2005-03-07,drivers face higher petrol price,fuel_prices
2005-03-07,oil price rises concern opec,opec
2005-03-10,bush urges oil production in wildlife reserve,oil_market_phrase
2005-03-10,oil price hits new highs,oil_market_phrase
2005-03-10,oil worries hit us stocks,oil_with_market_context
2005-03-11,iea predicts higher than expected oil demand,oil_market_phrase
2005-03-16,opec boosts production,opec
2005-03-17,oil prices hit record as markets ignore opec,opec
2005-03-17,petrol price hike tipped after oil surge,oil_price_movement
2005-03-17,record high oil prices hit us stocks,oil_market_phrase
2005-03-18,arc energy up beat about oil search,oil_with_market_context
2005-03-18,drivers warned of rising regional fuel prices,fuel_prices
2005-03-18,oil high predicted to help lift cotton prices,oil_with_market_context
2005-03-19,oil prices hover near record high,oil_market_phrase
2005-03-20,imf sees two years of high oil prices,oil_market_phrase
2005-03-21,higher diesel fuel prices predicted,fuel_prices
2005-03-21,oil fuels record high on stock market,oil_with_market_context
2005-03-21,oil prices tipped to boost stocks,oil_market_phrase
2005-03-21,racq airs northern fuel price concerns,fuel_prices
2005-03-22,climbing fuel price may curb easter getaways,fuel_prices
2005-03-23,tourism industry not expecting petrol prices to,fuel_prices
2005-03-24,oil prices dip before blast triggers rise,oil_market_phrase
2005-03-29,oil prices ease as us dollar firms,oil_market_phrase
2005-03-29,us stocks higher as oil falls,oil_price_movement
2005-04-01,mp wants diesel prices displayed,fuel_prices
2005-04-01,oil price surge boosts market,oil_market_phrase
2005-04-02,crude oil hits new high,crude_oil
2005-04-04,oil prices hit new high,oil_market_phrase
2005-04-05,doubling of petrol price unlikely auto group says,fuel_prices
2005-04-05,pm sees petrol prices as rates factor,fuel_prices
2005-04-07,aerial search on for far west petroleum,petroleum
2005-04-08,fears rising fuel prices may curb air travel,fuel_prices
2005-04-09,costello hopes timor sea reserves will cut oil,oil_with_market_context
2005-04-09,falling oil price fails to sustain dow jones rally,oil_market_phrase
2005-04-10,fear blamed for high oil prices,oil_market_phrase
2005-04-10,melbourne petrol prices hit record high,fuel_prices
2005-04-10,opec considers us50 oil price ceiling,opec
2005-04-10,petrol prices hit record highs,fuel_prices
2005-04-11,fuel prices may delay crop planting,fuel_prices
2005-04-11,fuel prices tipped to stay high,fuel_prices
2005-04-11,petroleum association wont speculate on fuel prices,petroleum
2005-04-12,fuel price prompts rex to seek review of industry,fuel_prices
2005-04-13,bass strait oil production tipped to halve,oil_market_phrase
2005-04-13,conference told oil reserves may be healthy,oil_market_phrase
2005-04-13,regional wa warned high fuel price will continue,fuel_prices
2005-04-17,labor to review petrol price policies,fuel_prices
2005-04-19,accc asked to probe regional fuel prices,fuel_prices
2005-04-25,oil prices rise on comments from saudi arabia,oil_market_phrase
2005-04-26,oil prices fall on saudi arabian comments,oil_market_phrase
2005-04-27,oil prices fall ahead of us inventories data,oil_market_phrase
2005-04-28,oil prices continue fall as supply worries ease,oil_market_phrase
2005-04-30,oil drops below us50,oil_price_movement
2005-05-05,oil prices tipped to stay put until 2006,oil_market_phrase
2005-05-08,iraqs new oil minister wants to boost crude exports,oil_with_market_context
2005-05-11,high oil prices lead to slow demand growth iea,oil_market_phrase
2005-05-11,oil price hedge fund fears hit us stocks,oil_market_phrase
2005-05-17,us stocks rally as oil drops,oil_price_movement
