date,brent_price,price_change,daily_return,daily_return_pct,absolute_return,absolute_return_pct,return_direction,is_extreme_p90,is_extreme_p95,is_extreme_p99,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,market_price_share,supply_geopolitics_share,consumer_fuel_share
2008-10-24,60.57,-4.490000000000002,-0.06901321856747622,-6.9013218567476216,0.06901321856747622,6.9013218567476216,decrease,True,True,False,246,3,1,2,0,0.0121951219512195,0.0040650406504065,0.008130081300813,0.0
2021-07-19,69.33,-5.1299999999999955,-0.0688960515713134,-6.88960515713134,0.0688960515713134,6.88960515713134,decrease,True,True,False,33,0,0,0,0,0.0,0.0,0.0,0.0
2004-12-01,41.19,-3.039999999999999,-0.06873163011530636,-6.873163011530636,0.06873163011530636,6.873163011530636,decrease,True,True,False,235,1,1,0,0,0.0042553191489361,0.0042553191489361,0.0,0.0
2016-02-17,33.21,2.120000000000001,0.0681891283370859,6.81891283370859,0.0681891283370859,6.81891283370859,increase,True,True,False,233,1,1,0,0,0.0042918454935622,0.0042918454935622,0.0,0.0
2009-02-12,47.23,2.989999999999995,0.06758589511754054,6.758589511754054,0.06758589511754054,6.758589511754054,increase,True,True,False,247,0,0,0,0,0.0,0.0,0.0,0.0
2009-01-05,45.84,2.9000000000000057,0.06753609687936679,6.753609687936679,0.06753609687936679,6.753609687936679,increase,True,True,False,248,1,0,0,1,0.0040322580645161,0.0,0.0,0.0040322580645161
2020-06-05,41.0,2.5900000000000034,0.06743035667794861,6.743035667794861,0.06743035667794861,6.743035667794861,increase,True,True,False,137,0,0,0,0,0.0,0.0,0.0,0.0
2018-12-07,61.71,3.8800000000000026,0.06709320421926335,6.709320421926335,0.06709320421926335,6.709320421926335,increase,True,True,False,119,0,0,0,0,0.0,0.0,0.0,0.0
2008-12-16,42.0,-3.020000000000003,-0.067081297201244,-6.708129720124401,0.067081297201244,6.708129720124401,decrease,True,True,False,245,0,0,0,0,0.0,0.0,0.0,0.0
2015-11-13,41.98,-3.0,-0.0666963094708759,-6.66963094708759,0.0666963094708759,6.66963094708759,decrease,True,True,False,277,1,1,0,0,0.003610108303249,0.003610108303249,0.0,0.0
2009-01-06,48.89,3.049999999999997,0.06653577661431065,6.653577661431065,0.06653577661431065,6.653577661431065,increase,True,True,False,248,0,0,0,0,0.0,0.0,0.0,0.0
2020-09-02,42.7,-3.019999999999996,-0.06605424321959752,-6.605424321959752,0.06605424321959752,6.605424321959752,decrease,True,True,False,146,0,0,0,0,0.0,0.0,0.0,0.0
2009-03-13,44.97,2.780000000000001,0.06589239156198157,6.589239156198157,0.06589239156198157,6.589239156198157,increase,True,True,False,244,0,0,0,0,0.0,0.0,0.0,0.0
2009-02-26,45.15,2.780000000000001,0.0656124616473921,6.5612461647392095,0.0656124616473921,6.5612461647392095,increase,True,True,False,246,0,0,0,0,0.0,0.0,0.0,0.0
2004-12-02,38.49,-2.6999999999999957,-0.06554989075018203,-6.554989075018202,0.06554989075018203,6.554989075018202,decrease,True,True,False,233,1,1,0,0,0.0042918454935622,0.0042918454935622,0.0,0.0
2020-03-20,25.55,1.5700000000000003,0.06547122602168476,6.547122602168476,0.06547122602168476,6.547122602168476,increase,True,True,False,110,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-03,54.0,-3.770000000000003,-0.06525878483642034,-6.525878483642034,0.06525878483642034,6.525878483642034,decrease,True,True,False,95,0,0,0,0,0.0,0.0,0.0,0.0
2004-09-02,42.39,2.5900000000000034,0.06507537688442211,6.507537688442211,0.06507537688442211,6.507537688442211,increase,True,True,False,236,4,2,1,1,0.0169491525423728,0.0084745762711864,0.0042372881355932,0.0042372881355932
2015-08-27,44.46,2.700000000000003,0.06465517241379315,6.465517241379315,0.06465517241379315,6.465517241379315,increase,True,True,False,281,0,0,0,0,0.0,0.0,0.0,0.0
2016-09-29,48.43,2.9399999999999977,0.06462958892064186,6.462958892064186,0.06462958892064186,6.462958892064186,increase,True,True,False,191,3,2,2,0,0.0157068062827225,0.0104712041884816,0.0104712041884816,0.0
2009-01-22,42.42,2.520000000000003,0.06315789473684208,6.315789473684208,0.06315789473684208,6.315789473684208,increase,True,True,False,248,1,0,0,1,0.0040322580645161,0.0,0.0,0.0040322580645161
2018-11-13,65.45,-4.359999999999999,-0.06245523563959321,-6.2455235639593205,0.06245523563959321,6.2455235639593205,decrease,True,True,False,112,1,0,0,1,0.0089285714285714,0.0,0.0,0.0089285714285714
2021-03-24,63.7,3.740000000000002,0.06237491661107408,6.237491661107408,0.06237491661107408,6.237491661107408,increase,True,True,False,60,1,1,0,0,0.0166666666666666,0.0166666666666666,0.0,0.0
2015-10-05,49.45,2.9000000000000057,0.06229860365198725,6.229860365198725,0.06229860365198725,6.229860365198725,increase,True,True,False,233,0,0,0,0,0.0,0.0,0.0,0.0
2008-12-15,45.02,2.6400000000000006,0.062293534686172825,6.2293534686172825,0.062293534686172825,6.2293534686172825,increase,True,True,False,247,0,0,0,0,0.0,0.0,0.0,0.0
2009-03-19,48.03,2.8100000000000023,0.062140645731977084,6.214064573197708,0.062140645731977084,6.214064573197708,increase,True,True,False,245,0,0,0,0,0.0,0.0,0.0,0.0
2009-06-22,66.13,-4.3500000000000085,-0.061719636776390585,-6.1719636776390585,0.061719636776390585,6.1719636776390585,decrease,True,True,False,247,1,0,1,0,0.0040485829959514,0.0,0.0040485829959514,0.0
2009-02-09,47.23,2.739999999999995,0.0615868734547087,6.15868734547087,0.0615868734547087,6.15868734547087,increase,True,True,False,246,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-23,59.96,-3.9299999999999997,-0.0615119737048051,-6.15119737048051,0.0615119737048051,6.15119737048051,decrease,True,True,False,68,0,0,0,0,0.0,0.0,0.0,0.0
2019-08-07,55.03,-3.6000000000000014,-0.06140201262152489,-6.140201262152489,0.06140201262152489,6.140201262152489,decrease,True,True,False,109,0,0,0,0,0.0,0.0,0.0,0.0
2016-02-22,33.59,1.9300000000000033,0.06096020214782061,6.096020214782061,0.06096020214782061,6.096020214782061,increase,True,True,False,217,2,2,0,0,0.0092165898617511,0.0092165898617511,0.0,0.0
2007-10-29,89.87,5.160000000000011,0.06091370558375653,6.091370558375653,0.06091370558375653,6.091370558375653,increase,True,True,False,247,2,1,0,1,0.0080971659919028,0.0040485829959514,0.0,0.0040485829959514
2016-07-12,46.72,2.6799999999999997,0.060853769300635685,6.0853769300635685,0.060853769300635685,6.0853769300635685,increase,True,True,False,194,0,0,0,0,0.0,0.0,0.0,0.0
2016-01-21,27.59,1.5799999999999983,0.06074586697424067,6.074586697424067,0.06074586697424067,6.074586697424067,increase,True,True,False,227,2,1,0,1,0.0088105726872246,0.0044052863436123,0.0,0.0044052863436123
2009-08-19,72.81,4.150000000000006,0.06044276143314886,6.044276143314886,0.06044276143314886,6.044276143314886,increase,True,True,False,240,0,0,0,0,0.0,0.0,0.0,0.0
2003-11-24,27.99,-1.8000000000000007,-0.06042296072507558,-6.042296072507558,0.06042296072507558,6.042296072507558,decrease,True,True,False,214,0,0,0,0,0.0,0.0,0.0,0.0
2016-09-01,45.05,-2.8900000000000006,-0.06028368794326244,-6.028368794326244,0.06028368794326244,6.028368794326244,decrease,True,True,False,224,1,1,0,0,0.0044642857142857,0.0044642857142857,0.0,0.0
2016-05-03,43.09,-2.729999999999997,-0.05958096900916621,-5.958096900916621,0.05958096900916621,5.958096900916621,decrease,True,True,False,214,0,0,0,0,0.0,0.0,0.0,0.0
2009-03-31,46.13,-2.9199999999999946,-0.05953109072375118,-5.953109072375118,0.05953109072375118,5.953109072375118,decrease,True,True,False,246,0,0,0,0,0.0,0.0,0.0,0.0
2003-03-18,28.55,-1.8000000000000007,-0.05930807248764414,-5.930807248764413,0.05930807248764414,5.930807248764413,decrease,True,True,False,226,0,0,0,0,0.0,0.0,0.0,0.0
2003-04-02,26.29,-1.6500000000000021,-0.05905511811023634,-5.905511811023634,0.05905511811023634,5.905511811023634,decrease,True,True,False,226,1,0,0,1,0.0044247787610619,0.0,0.0,0.0044247787610619
2004-09-17,43.08,2.3999999999999986,0.05899705014749257,5.899705014749257,0.05899705014749257,5.899705014749257,increase,True,True,False,208,1,0,0,1,0.0048076923076923,0.0,0.0,0.0048076923076923
2010-02-04,71.3,-4.469999999999999,-0.05899432493071133,-5.899432493071133,0.05899432493071133,5.899432493071133,decrease,True,True,False,249,0,0,0,0,0.0,0.0,0.0,0.0
2005-09-19,64.04,3.5600000000000094,0.05886243386243395,5.886243386243395,0.05886243386243395,5.886243386243395,increase,True,True,False,239,5,1,0,4,0.0209205020920502,0.00418410041841,0.0,0.0167364016736401
2018-12-06,57.83,-3.5700000000000003,-0.05814332247557008,-5.814332247557008,0.05814332247557008,5.814332247557008,decrease,True,True,False,134,0,0,0,0,0.0,0.0,0.0,0.0
2008-07-11,143.68,7.8700000000000045,0.05794860466828666,5.794860466828666,0.05794860466828666,5.794860466828666,increase,True,True,False,247,4,1,0,3,0.0161943319838056,0.0040485829959514,0.0,0.0121457489878542
2015-09-03,50.41,2.739999999999995,0.05747849800713234,5.747849800713234,0.05747849800713234,5.747849800713234,increase,True,True,False,258,1,1,0,0,0.003875968992248,0.003875968992248,0.0,0.0
2010-08-02,81.93,4.430000000000007,0.05716129032258066,5.716129032258066,0.05716129032258066,5.716129032258066,increase,True,True,False,243,1,0,0,1,0.0041152263374485,0.0,0.0,0.0041152263374485
2003-12-08,30.52,1.6499999999999986,0.05715275372358852,5.715275372358852,0.05715275372358852,5.715275372358852,increase,True,True,False,242,1,0,1,0,0.0041322314049586,0.0,0.0041322314049586,0.0
2009-04-20,49.06,-2.960000000000001,-0.05690119184928877,-5.690119184928877,0.05690119184928877,5.690119184928877,decrease,True,True,False,245,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-17,19.75,1.0599999999999987,0.05671482075976453,5.671482075976453,0.05671482075976453,5.671482075976453,increase,True,True,False,106,1,0,0,1,0.0094339622641509,0.0,0.0,0.0094339622641509
2016-01-08,31.67,-1.8999999999999986,-0.0565981531128984,-5.65981531128984,0.0565981531128984,5.65981531128984,decrease,True,True,False,200,0,0,0,0,0.0,0.0,0.0,0.0
