date,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,oil_share_per_1000,market_price_share,market_price_share_per_1000,supply_geopolitics_share,supply_geopolitics_share_per_1000,consumer_fuel_share,consumer_fuel_share_per_1000
2003-09-19,226,1,0,0,1,0.004424778761061947,4.424778761061947,0.0,0.0,0.0,0.0,0.004424778761061947,4.424778761061947
2003-09-20,121,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-21,123,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-22,208,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-23,227,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-24,223,1,1,1,0,0.004484304932735426,4.484304932735426,0.004484304932735426,4.484304932735426,0.004484304932735426,4.484304932735426,0.0,0.0
2003-09-25,228,3,1,3,0,0.013157894736842105,13.157894736842104,0.0043859649122807015,4.385964912280701,0.013157894736842105,13.157894736842104,0.0,0.0
2003-09-26,201,5,1,5,0,0.024875621890547265,24.875621890547265,0.004975124378109453,4.975124378109452,0.024875621890547265,24.875621890547265,0.0,0.0
2003-09-27,152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-28,128,1,0,1,1,0.0078125,7.8125,0.0,0.0,0.0078125,7.8125,0.0078125,7.8125
2003-09-29,199,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-30,226,2,0,2,0,0.008849557522123894,8.849557522123893,0.0,0.0,0.008849557522123894,8.849557522123893,0.0,0.0
2003-10-01,248,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-02,230,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-03,237,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-04,135,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-05,121,1,0,1,0,0.008264462809917356,8.264462809917356,0.0,0.0,0.008264462809917356,8.264462809917356,0.0,0.0
2003-10-06,211,1,0,0,1,0.004739336492890996,4.739336492890995,0.0,0.0,0.0,0.0,0.004739336492890996,4.739336492890995
2003-10-07,248,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-08,241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-09,242,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-10,234,1,0,1,0,0.004273504273504274,4.273504273504274,0.0,0.0,0.004273504273504274,4.273504273504274,0.0,0.0
2003-10-11,149,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-12,148,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-13,212,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
